prwp_id,date,author,title,year,ssrn_downloads,ssrn_id,okr_downloads,okr_abstract_views,okr_handle,dandr_downloads,total_downloads
754,1991-08-01,James R. Tybout; M. Daniel Westbrook,Estimating Returns to Scale  with Large Imperfect Panels,1991,NA,NA,NA,NA,NA,316,316
755,1991-08-01,Stijn Claessens; Panos Varangis,Hedging Crude Oil Imports  in Developing Countries,1991,NA,NA,NA,NA,NA,788,788
756,1991-08-01,Arvind Panagariya; Maurice Schiff,Taxes Versus Quotas:  The Case of Cocoa Exports,1991,NA,NA,NA,NA,NA,331,331
757,1991-08-01,Eric Rice,Managing the Transition: Enhancing the Efficiency of Eastern European  Governments,1991,NA,NA,NA,NA,NA,339,339
758,1991-08-01,Theodosios B. Palaskas; Panos N. Varangis,Is There Excess Co-Movement  of Primary Commodity Prices?   A Co-Integration Test,1991,NA,NA,NA,NA,NA,558,558
759,1991-08-01,Jesus Amadeo; Dov Chernichovsky; Gabriel Ojeda,"The Profamilia Family Planning  Program, Colombia: An Economic Perspective",1991,NA,NA,NA,NA,NA,908,908
760,1991-09-01,Alexander J. Yeats,How Conflicting Definitions  of ”Manufactures” Distort Output  and Trade Statistics,1991,NA,NA,NA,NA,NA,423,423
761,1991-09-01,Gerhard Pohl; Dubravko Mihaljek,Uncertainty and the Discrepancy between Rate-of-Return Estimates at Project Appraisal and Project Completion,1991,NA,NA,NA,NA,NA,701,701
762,1991-09-01,Daniel Cohen; Thierry Verdier,"Debt, Debt Relief, and Growth: A Bargaining Approach",1991,144,620594,NA,NA,NA,370,514
763,1991-09-01,Daniel Cohen,A Valuation Formula for LDC Debt,1991,NA,NA,NA,NA,NA,433,433
764,1991-10-01,Jorge Culagovski; Victor Gabor; Maria Cristina Germany; Charles P. Humphreys,African Financing Needs in the 1990s,1991,NA,NA,NA,NA,NA,418,418
765,1991-09-01,Harry Huizinga,Withholding Taxes and International Bank Credit Terms,1991,NA,NA,NA,NA,NA,580,580
766,1991-09-01,Francois Diop; Kenneth Hill; Ismail Sirageldin,"Economic Crisis, Structural Adjustment, and Health in Africa",1991,NA,NA,NA,NA,NA,467,467
767,1991-09-01,Colin A. Bruce; David Ndii,Framework for Macroeconomic Analysis (Applied to Kenya),1991,NA,NA,NA,NA,NA,1482,1482
768,1991-09-01,Manuel Hinds; Gerhard Pohl,Going to Market: Privatization in Central and Eastern Europe,1991,NA,NA,NA,NA,NA,388,388
769,1991-09-01,Lili Liu,"Entry-Exit, Learning, and  Productivity Change: Evidence from  Chile",1991,NA,NA,NA,NA,NA,870,870
770,1991-09-01,Farid Dhanji; Branko Milanovic,"Privatization in Eastern and Central Europe: Objectives, Constraints, and Models of Divestiture",1991,NA,NA,NA,NA,NA,396,396
771,1991-09-01,Ibrahim A. Elbadawi; Klaus Schmidt-Hebbel,Macroeconomic Structure  and Policy in Zimbabwe: Analysis  and Empirical Model (1965-88),1991,NA,NA,NA,NA,NA,1496,1496
772,1991-09-01,Ibrahim A. Elbadawi; Klaus Schmidt-Hebbel,"Macroeconomic Adjustment to Oil Shocks and Fiscal Reform: Simulations for Zimbabwe, 1988-95",1991,NA,NA,NA,NA,NA,483,483
773,1991-09-01,Reuben Gronau,Are Ghana’s Roads Paying Their Way?  Assessing Road Use Cost  and User Charges in Ghana,1991,NA,NA,NA,NA,NA,500,500
774,1991-10-01,Mark Gersovitz,Agricultural Pricing Systems  and Transportation Policy in Africa,1991,NA,NA,NA,NA,NA,601,601
775,1991-10-01,William Easterly; Klaus Schmidt-Hebbel,The Macroeconomics of Public Sector Deficits: A Synthesis,1991,NA,NA,NA,NA,NA,857,857
776,1991-10-01,Mark A. Dutz,Enforcement of Canadian “Unfair” Trade Laws: The Case for Competition Policies as an Antidote for Protection,1991,NA,NA,NA,NA,NA,388,388
777,1991-10-01,Shantayanan Devarajan; Dani Rodrik,Do the Benefits of Fixed Exchange Rates Outweigh Their Costs?  The Franc Zone in Africa,1991,NA,NA,NA,NA,NA,1045,1045
778,1991-10-01,Eduardo Fernandez-Arias,A Dynamic Bargaining Model  of Sovereign Debt,1991,NA,NA,NA,NA,NA,459,459
779,1991-10-01,Janet Nassim,"Special Programme of Research, Development and Research Training in Human Reproduction",1991,NA,NA,NA,NA,NA,1148,1148
780,1991-10-01,Ian G. Heggie; Vincy Fon,Optimal User Charges and Cost Recovery for Roads in Developing Countries,1991,NA,NA,NA,NA,NA,736,736
781,1991-10-01,Taeho Bark,The Korean Consumer Electronics Industry: Reaction to Antidumping  Actions,1991,NA,NA,NA,NA,NA,711,711
782,1991-10-01,Patrick Conway; Sumana Dhar,The Economic Effects of Widespread Application of Antidumping Duties to Import Pricing,1991,NA,NA,NA,NA,NA,592,592
783,1991-10-01,J. Michael Finger,The Origins and Evolution  of Antidumping Regulation,1991,NA,NA,NA,NA,NA,912,912
784,1991-10-01,Andrzej Olechowski,Chemicals from Poland: A Tempest in a Teacup,1991,NA,NA,NA,NA,NA,416,416
785,1991-10-01,Ishrat Husain,How Did the Asian Countries Avoid the Debt Crisis?,1991,NA,NA,NA,NA,NA,839,839
786,1991-10-01,Sadiq Ahmed,Fiscal Policy for Managing Indonesia’s Environment,1991,NA,NA,NA,NA,NA,639,639
787,1991-10-01,Klaus Schmidt-Hebbel; Tobias Muller,Private Investment Under Macroeconomic Adjustment  in Morocco,1991,NA,NA,NA,NA,NA,433,433
788,1991-10-01,Francesco Daveri,How Expectations Affect Reform Dynamics in Developing Countries,1991,NA,NA,NA,NA,NA,345,345
789,1991-10-01,Lawrence Haddad; Ravi Kanbur,Intrahousehold Inequality  and the Theory of Targeting,1991,NA,NA,NA,NA,NA,512,512
790,1991-10-01,Esra Bennathan; Jeffrey Gutman; Louis Thompson,Reforming and Privatizing Hungary’s Road Haulage,1991,NA,NA,NA,NA,NA,460,460
791,1991-10-01,Lant Pritchett,Measuring Real Exchange Rate Instability in Developing Countries: Empirical Evidence and Implications,1991,NA,NA,NA,NA,NA,456,456
792,1991-10-01,Jan Svejnar; Katherine Terrell,Reducing Labor Redundancy  in State-Owned Enterprises,1991,NA,NA,NA,NA,NA,582,582
793,1991-10-01,Karen M. Brooks,Decollectivization and the Agricultural Transition in Eastern  and Central Europe,1991,NA,NA,NA,NA,NA,420,420
794,1991-10-01,William Easterly; Robert King; Ross Levine ; Sergio Rebelo,How Do National Policies Affect Long-Run Growth? A Research Agenda,1991,NA,NA,NA,NA,NA,1546,1546
795,1991-10-01,William Easterly,"Economic Stagnation, Fixed Factors, and Policy Thresholds",1991,NA,NA,NA,NA,NA,1576,1576
796,1991-10-01,Gerard Caprio; Jr.; Patrick Honohan,Excess Liquidity and Monetary Overhangs,1991,NA,NA,NA,NA,NA,2235,2235
797,1991-10-01,Richard Heaver,"Using Field Visits to Improve the Quality of Family Planning, Health,  and Nutrition Programs:  A Supervisor’s Manual",1991,NA,NA,NA,NA,NA,368,368
798,1991-10-01,Will Martin; Peter G. Warr,Agriculture’s Decline in Indonesia: Supply or Demand Determined?,1991,NA,NA,NA,NA,NA,406,406
799,1991-11-01,Sergio Rebelo,Growth in Open Economies,1991,NA,NA,NA,NA,NA,851,851
800,1991-11-01,Cheryl W. Gray; Rebecca J. Hanson; Michael A. Heller; Peter Ianachokov; Youssef Djehane,The Legal Framework for Private Sector Development in a Transitional Economy : The Case of Poland,1991,NA,NA,NA,NA,NA,403,403
801,1991-11-01,Arvind Panagariya,Unraveling the Mysteries of China’s Foreign Trade Regime: A View  from Jiangsu Province,1991,NA,NA,NA,NA,NA,441,441
802,1991-11-01,Steven W. Sinding,Strengthening the Bank’s Population Work in the Nineties,1991,NA,NA,NA,NA,NA,332,332
803,1991-11-01,Millard Long; Dimitri Vittas,Financial Regulation: Changing  the Rules of the Game,1991,NA,NA,NA,NA,NA,598,598
804,1991-11-01,Boum-Jong Choe,Global Trends in Raw Materials Consumption,1991,NA,NA,NA,NA,NA,1282,1282
805,1991-11-01,Sergei Shatalov,Privatization in the Soviet Union: The Beginnings of a Transition,1991,NA,NA,NA,NA,NA,3087,3087
806,1991-11-01,Dimitri Vittas,Measuring Commercial Bank Efficiency: Use and Misuse of Bank Operating Ratios,1991,NA,NA,NA,NA,NA,1600,1600
807,1991-11-01,Rudiger Dornbusch; Stanley Fischer,Moderate Inflation,1991,758,620638,NA,NA,NA,917,1675
808,1991-11-01,Ann Harrison,The New Trade Protection: Price Effects of Antidumping and Countervailing Measures in the United States,1991,NA,NA,NA,NA,NA,546,546
809,1991-11-01,Ann Harrison,"Openness and Growth: A Time  Series, Cross-Country Analysis  for Developing Countries",1991,NA,NA,NA,NA,NA,722,722
810,1991-11-01,Francois Bourguignon; Jaime de Melo; Christian Morrisson,Poverty and Income Distribution during Adjustment: Issues  and Evidence from the OECD Project,1991,NA,NA,NA,NA,NA,732,732
811,1991-12-01,Peter T. Knight; Sulaiman S. Wasty,Comparative Resource Allocations to Human Resource Development,1991,NA,NA,NA,NA,NA,446,446
812,1991-12-01,Stijn Claessens,Alternative Forms of External Finance: A Survey,1991,NA,NA,NA,NA,NA,525,525
813,1991-12-01,Takamasa Akiyama; Panos Varangis,Price Stabilization for Raw Jute in Bangladesh,1991,NA,NA,NA,NA,NA,544,544
814,1991-12-01,Mark Gertler; Andrew Rose,"Finance, Growth, and Public Policy",1991,NA,NA,NA,NA,NA,501,501
815,1991-12-01,Deborah Brautigam,Governance and Economy: A Review,1991,NA,NA,NA,NA,NA,2085,2085
816,1991-12-01,Gerhard Pohl,Economic Consequences of German Reunification: 12 Months After the Big Bang,1991,NA,NA,NA,NA,NA,1301,1301
817,1991-12-01,Mohua Mukherjee,How Does Brady-Type Commercial Debt Restructuring Work?,1991,NA,NA,NA,NA,NA,506,506
818,1992-01-01,J. Michael Finger; Sumana Dhar,Do Rules Control Power? GATT Articles and Arrangements  in the Uruguay Round,1992,NA,NA,NA,NA,NA,428,428
819,1992-01-01,Robert G. King; Ross Levine,Financial Indicators and Growth  in a Cross Section of Countries,1992,NA,NA,NA,NA,NA,2189,2189
820,1992-01-01,Christopher Heady; Pradeep K. Mitra,Taxation in Decentralizing Socialist Economies: The Case of China,1992,NA,NA,NA,NA,NA,382,382
821,1992-01-01,Fabrizio Coricelli; Ana Revenga,Wages and Unemployment in Poland: Recent Developments and Policy Issues,1992,NA,NA,NA,NA,NA,426,426
822,1992-01-01,Nancy Jesurun-Clements,Paternalism and the Alleviation  of Poverty,1992,NA,NA,NA,NA,NA,362,362
823,1992-01-01,Steven M. Jaffee,How Private Enterprise Organized Agricultural Markets in Kenya,1992,NA,NA,NA,NA,NA,785,785
824,1992-01-01,Sergio Margulis,Back-of-the-Envelope Estimates of Environmental Damage Costs in  Mexico,1992,NA,NA,NA,NA,NA,537,537
825,1992-01-01,Marlaine E. Lockheed; Qinghua Zhao,The Empty Opportunity: Local Control of Secondary Schools and Student Achievement in the Philippines,1992,NA,NA,NA,NA,NA,450,450
826,1992-01-01,Ariel Fiszbein,Do Workers in the Informal Sector Benefit from Cuts in the Minimum Wage?,1992,NA,NA,NA,NA,NA,557,557
827,1992-01-01,Refik Erzan; Alexander Yeats,Free Trade Agreements with the United States: What’s In It for Latin America?,1992,NA,NA,NA,NA,NA,1243,1243
828,1992-01-01,Arvil Van Adams; Robert Goldfarb; Terence Kelly,How the Macroeconomic Environment Affects Human Resource Development,1992,NA,NA,NA,NA,NA,1567,1567
829,1992-01-01,Terry M. Chuppe; Michael Atkin,Regulation of Securities Markets: Some Recent Trends and Their Implications for Emerging Markets,1992,NA,NA,NA,NA,NA,850,850
830,1992-01-01,Ibrahim Elbadawi; Nader Majd,Fixed Parity of the Exchange Rate  and Economic Performance in the CFA Zone: A Comparative Study,1992,NA,NA,NA,NA,NA,645,645
831,1992-01-01,Ibrahim Elbadawi,"Real Overvaluation, Terms of Trade Shocks, and the Cost to Agriculture in Sub-Saharan Africa",1992,NA,NA,NA,NA,NA,445,445
832,1992-01-01,Richard B. Norgaard,Sustainability and the Economics of Assuring Assets for Future  Generations,1992,NA,NA,NA,NA,NA,735,735
833,1992-01-01,Daniel F. Oks,Stabilization and Growth Recovery in Mexico: Lessons and Dilemmas,1992,NA,NA,NA,NA,NA,391,391
834,1992-01-01,Shahrokh Fardoust; Jian-Ping Zhou,Scenarios for Growth in the 1990s,1992,NA,NA,NA,NA,NA,370,370
835,1992-01-01,Patricio Arrau; Stijn Claessens,Commodity Stabilization Funds,1992,NA,NA,NA,NA,NA,673,673
836,1992-01-01,Richard H. Adams; Jr.; Harold Alderman,Sources of Income Inequality in Rural Pakistan: A Decomposition Analysis,1992,NA,NA,NA,NA,NA,1103,1103
837,1992-01-01,Arvil Van Adams; John Middleton; Adrian Ziderman,Manpower Planning in a Market Economy with Labor Market Signals,1992,NA,NA,NA,NA,NA,672,672
838,1992-01-01,Brian J. Aitken,Measuring Trade Policy Intervention: A Cross-Country Index  of Relative Price Dispersion,1992,NA,NA,NA,NA,NA,371,371
839,1992-01-01,David G. Tarr,Regional Integration Under VERs: When Trade Diversion is Unambiguously Beneficial,1992,NA,NA,NA,NA,NA,324,324
840,1992-01-01,Alfredo E. Thorne; Azita Dastgheib,"Public Sector Debt, Fiscal Deficits, and Economic Adjustment:  A Comparative Study of Six EMENA Countries",1992,NA,NA,NA,NA,NA,581,581
841,1992-01-01,Susan Cochrane; David K. Guilkey,How Access to Contraception Affects Fertility and Contraceptive Use  in Tunisia,1992,NA,NA,NA,NA,NA,526,526
842,1992-01-01,Ishrat Husain; Kwang W. Jun,"Capital Flows to South Asia and  ASEAN Countries: Trends,  Determinants, and Policy  Implications",1992,NA,NA,NA,NA,NA,685,685
843,1992-01-01,Ejaz Ghani,How Financial Markets Affect Long- Run Growth: A Cross-Country Study,1992,NA,NA,NA,NA,NA,599,599
844,1992-01-01,Ravi Kanbur,"Heterogeneity, Distribution,  and Cooperation in Common Property Resource Management",1992,NA,NA,NA,NA,NA,1322,1322
845,1992-01-01,Luc Everaert,Inflation Stabilization in Turkey: An Application of the RMSM-X Model,1992,NA,NA,NA,NA,NA,414,414
846,1992-01-01,Larry Forgy; Diana M. Measham; Anne G. Tinker,Incorporating Cost and Cost-Effectiveness Analysis into the Development of Safe Motherhood Programs,1992,NA,NA,NA,NA,NA,409,409
847,1992-01-01,Silvia B. Sagari; Loic Chiquier,Coping with the Legacies  of Subsidized Mortgage Credit  in Hungary,1992,NA,NA,NA,NA,NA,364,364
848,1992-02-01,Merlinda D. Ingco; Donald O. Mitchell,How EC 1992 and Reforms of the Common Agricultural Policy Would Affect Developing Countries’ Grain  Trade,1992,NA,NA,NA,NA,NA,432,432
849,1992-02-01,Ross Levine,Financial Structures and Economic Development,1992,NA,NA,NA,NA,NA,526,526
850,1992-02-01,Kazi M. Matin,Fiscal Adjustment and the Real Exchange Rate: The Case of  Bangladesh,1992,NA,NA,NA,NA,NA,317,317
851,1992-02-01,Eduard Bos; My T. Vu; Patience W. Stephens,Sources of World Bank Estimates of Current Mortality Rates,1992,NA,NA,NA,NA,NA,812,812
852,1992-02-01,Joseph Kutzin; Howard Barnum,How Health Insurance Affects the Delivery of Health Care in Developing Countries,1992,NA,NA,NA,NA,NA,570,570
853,1992-02-01,Gerard Caprio,"Policy Uncertainty, Information Asymmetries, and Financial Intermediation",1992,NA,NA,NA,NA,NA,375,375
854,1992-02-01,Takamasa Akiyama,Is There a Case for an Optimal Export Tax on Perennial Crops?,1992,NA,NA,NA,NA,NA,463,463
855,1992-02-01,Jonathan Eaton,Sovereign Debt: A Primer,1992,NA,NA,NA,NA,NA,894,894
856,1992-02-01,George Psacharopoulos; Zafiris Tzannatos,Latin American Women’s Earnings and Participation in the Labor Force,1992,NA,NA,NA,NA,NA,771,771
857,1992-02-01,Kenneth M. Wright,The Life Insurance Industry in the United States: An Analysis of Economic and Regulatory Issues,1992,NA,NA,NA,NA,NA,2666,2666
858,1992-02-01,Dimitri Vittas,Contractual Savings and Emerging Securities Markets,1992,NA,NA,NA,NA,NA,448,448
859,1992-02-01,Ibrahim A. Elbadawi,Macroeconomic Management and the Black Market for Foreign Exchange in Sudan,1992,NA,NA,NA,NA,NA,3748,3748
860,1992-02-01,Refik Erzan; Christopher Holmes,The Restrictiveness of the Multi- Fibre on Eastern European Trade,1992,NA,NA,NA,NA,NA,340,340
861,1992-02-01,Patricio Arrau; Daniel Oks,"Private Saving in Mexico, 1980-90",1992,NA,NA,NA,NA,NA,381,381
862,1992-02-01,Alan Richards,Higher Education in Egypt,1992,NA,NA,NA,NA,NA,2776,2776
863,1992-02-01,Roy Bahl; Christine Wallich,Intergovernmental Fiscal Relations in China,1992,NA,NA,NA,NA,NA,1392,1392
864,1992-04-01,Ralph Bradburd,Privatization of Natural Monopoly Public Enterprises: The Regulation Issue,1992,NA,NA,NA,NA,NA,1022,1022
865,1992-02-01,Harold Alderman; Marito Garcia,Food Security and Health Security: Explaining the Levels of Nutrition  in Pakistan,1992,NA,NA,NA,NA,NA,738,738
866,1992-02-01,Robert Pardy,Regulatory and Institutional Impacts of Securities Market Computerization,1992,NA,NA,NA,NA,NA,715,715
867,1992-02-01,Dimitri Vittas; Augusto Iglesias,The Rationale and Performance  of Personal Pension Plans in Chile,1992,NA,NA,NA,NA,NA,459,459
868,1992-03-01,Michael Koenig,Mortality Reductions from Measles and Tetanus Immunization:  A Review of the Evidence,1992,NA,NA,NA,NA,NA,389,389
869,1992-03-01,Richard Bird; Christine Wallich,Financing Local Government  in Hungary,1992,NA,NA,NA,NA,NA,1062,1062
870,1992-03-01,F. Desmond McCarthy; Ashok Dhareshwar,Economic Shocks and the Global Environment,1992,NA,NA,NA,NA,NA,566,566
871,1992-03-01,Dominique van de Walle,"The Distribution of the Benefits from Social Services in Indonesia, 1978-87",1992,NA,NA,NA,NA,NA,606,606
872,1992-03-01,Cheryl W. Gray; Rebecca J. Hanson; Peter G. Ianachkov,Romania’s Evolving Legal Framework for Private Sector Development,1992,NA,NA,NA,NA,NA,371,371
873,1992-03-01,Francois M. Ettori,Measure and Interpretation of Effective Protection in the Presence of High Capital Costs: Evidence  from India,1992,NA,NA,NA,NA,NA,320,320
874,1992-03-01,James E. Anderson; Geoffrey Bannister,The Trade Restrictiveness Index:  An Application to Mexican Agriculture,1992,NA,NA,NA,NA,NA,627,627
875,1992-03-01,Jacob Yaron,Rural Finance in Developing  Countries,1992,NA,NA,NA,NA,NA,1679,1679
876,1992-03-01,Ross Levine; David Scott,Old Debts and New Beginnings: A Policy Choice in Transitional Socialist Economies,1992,NA,NA,NA,NA,NA,366,366
877,1992-03-01,Gary H. Jefferson; Wenyi Xu,Assessing Gains in Efficient Production Among China’s Industrial Enterprises,1992,NA,NA,NA,NA,NA,356,356
878,1992-03-01,Kazi M. Matin; Bernard Wasow,Adjustment and Private Investment in Kenya,1992,NA,NA,NA,NA,NA,563,563
879,1992-03-01,Peter Rogers,Comprehensive Water Resources Management: A Concept Paper,1992,NA,NA,NA,NA,NA,1678,1678
880,1992-04-01,Miguel A. Kiguel,"Exchange Rate Policy, the Real Exchange Rate, and Inflation:  Lessons from Latin America",1992,NA,NA,NA,NA,NA,734,734
881,1992-04-01,Nita Ghei; Miguel A. Kiguel,Dual and Multiple Exchange Rate Systems in Developing Countries: Some Empirical Evidence,1992,NA,NA,NA,NA,NA,966,966
882,1992-04-01,Alfredo Thorne,Issues in Reforming Financial Systems in Eastern Europe:  The Case of Bulgaria,1992,NA,NA,NA,NA,NA,532,532
883,1992-04-01,Pedro L. Alonso; Allan G. Hill; Patricia H. David; Greg Fegan; Joanna R. M. Armstrong; Andreas Francisco; K. Cham; Brian M. Greenwood,Malaria: The Impact of Treated Bed- Nets on Childhood Mortality in the Gambia,1992,NA,NA,NA,NA,NA,455,455
884,1992-04-01,Harold Alderman,Intercommodity Price Transmittal: Analysis of Food Markets in Ghana,1992,NA,NA,NA,NA,NA,461,461
885,1992-04-01,A. J. Hughes Hallett,The Impact of EC-92 on Developing Countries’ Trade: A Dissenting View,1992,NA,NA,NA,NA,NA,428,428
886,1992-04-01,Sudarshan Gooptu; Maria Soledad Martinez Peria,Factors That Affect Short-Term Commercial Bank Lending  to Developing Countries,1992,NA,NA,NA,NA,NA,1302,1302
887,1992-04-01,William Jack,Power Sharing and Pollution Control: Coordinating Policies Among Levels of Government,1992,NA,NA,NA,NA,NA,372,372
888,1992-04-01,Csaba Csáki,Transformation of Agriculture in Central Eastern Europe and the Former USSR: Major Policy Issues  and Perspectives,1992,NA,NA,NA,NA,NA,437,437
889,1992-04-01,Stephen W. Raudenbush; Suwanna Eamsukkawat; Ikechuku Di-Ibor; Mohamed Kamali; Wimol Taoklam,On-th-Job Improvements in Teacher Competence: Policy Options  and Their Effects on Teaching  and Learning in Thailand,1992,NA,NA,NA,NA,NA,385,385
890,1992-04-01,Denise Vaillancourt; Janet Nassim; Stacye Brown,"Population, Health, and Nutrition: Fiscal 1991 Sector Review",1992,NA,NA,NA,NA,NA,471,471
891,1992-04-01,Andrew Stone; Brian Levy; Ricardo Paredes,Public Institutions and Private Transactions: The Legal and  Regulatory Environment for Business Transactions in Brazil and Chile,1992,NA,NA,NA,NA,NA,671,671
892,1992-04-01,Antonio Estache; Sweder van Wijnbergen,Evaluating the Asset-Based Minimum Tax on Corporations: An Option- Pricing Approach,1992,NA,NA,NA,NA,NA,364,364
893,1992-04-01,Cheryl W. Gray; Franjo D. Stiblar,The Evolving Legal Framework for Private Sector Activity in Slovenia,1992,NA,NA,NA,NA,NA,563,563
894,1992-04-01,Gregory Ingram,Social Indicators and Productivity Convergence in Developing Countries,1992,NA,NA,NA,NA,NA,458,458
895,1992-04-01,Mohua Mukherjee,How Can Debt Swaps Be Used  for Development?,1992,NA,NA,NA,NA,NA,526,526
896,1992-04-01,George Psacharopoulos; Carlos Rojas; Eduardo Velez,Achievement Evaluation  of Colombia’s Escuela Nueva:  Is Multigrade the Answer?,1992,NA,NA,NA,NA,NA,3239,3239
897,1992-05-01,Daniel S. Hamermesh,Unemployment Insurance for Developing Countries,1992,NA,NA,NA,NA,NA,630,630
898,1992-04-01,Gerard Caprio; Jr.; Ross Levine,Reforming Finance in Transitional Socialist Economies: Avoiding the Path from Shell Money to Shell Games,1992,NA,NA,NA,NA,NA,374,374
899,1992-05-01,Christian Harm,The Financing of Small Firms  in Germany,1992,NA,NA,NA,NA,NA,737,737
900,1992-05-01,Christian Harm,The Relationship between German Banks and Large German Firms,1992,NA,NA,NA,NA,NA,622,622
901,1992-05-01,James A. Hanson,Opening the Capital Account: A Survey of Issues and Results,1992,NA,NA,NA,NA,NA,563,563
902,1992-05-01,Paul Beckerman,"Public Sector “Debt Distress”  in Argentina, 1988-89",1992,NA,NA,NA,NA,NA,2141,2141
903,1992-05-01,Federico Changanaquí; Patrick Messerlin,The Economic Effects of Minimum Import Prices (With An Application to Uruguay,1992,NA,NA,NA,NA,NA,544,544
904,1992-06-01,Nemat Shafik; Sushenjit Bandyopadhyay,Economic Growth and Environmental Quality: Time-Series and Cross- Country Evidence,1992,NA,NA,NA,NA,NA,8277,8277
905,1992-05-01,Lawrence H. Summers,Investing in All the People,1992,NA,NA,NA,NA,NA,2161,2161
906,1992-05-01,Cheryl W. Gray; Peter Ianachkov,Bulgaria’s Evolving Legal Framework for Private Sector Development,1992,NA,NA,NA,NA,NA,376,376
907,1992-05-01,Robert Pardy,Institutional Reform in Emerging Securities Markets,1992,NA,NA,NA,NA,NA,855,855
908,1992-05-01,Dagmar Rajagopal; Anwar Shah,"Tax Incentives, Market Power, and Corporate Investment: A Rational Expectations Model Applied to Pakistani and Turkish Industries",1992,NA,NA,NA,NA,NA,575,575
909,1992-05-01,Janine Aron; Ibrahim A. Elbadawi,"Parallel Markets, the Foreign  Exchange Auction, and Exchange Rate Unification in Zambia",1992,NA,NA,NA,NA,NA,1934,1934
910,1992-05-01,Dimitri Vittas,Policy Issues in Financial Regulation,1992,NA,NA,NA,NA,NA,660,660
911,1992-05-01,Ying Qian; Panos Varangis,Does Exchange Rate Volatility Hinder Export Growth? Additional Evidence,1992,NA,NA,NA,NA,NA,525,525
912,1992-05-01,Andrés Solimano,Understanding the Investment Cycle in Adjustment Programs: Evidence  from Reforming Economies,1992,NA,NA,NA,NA,NA,350,350
913,1992-05-01,Maitreyi Das,The Women's Development Program in Rajasthan: A Case Study in Group Formation for Women's Development,1992,NA,NA,NA,NA,NA,1559,1559
914,1992-05-01,J. Patrick Vaughan,Health Personnel Development in Sub-Saharan Africa,1992,NA,NA,NA,NA,NA,357,357
915,1992-05-01,W. Max Corden,Trade Policy and Exchange Rate Issues in the Former Soviet Union,1992,NA,NA,NA,NA,NA,508,508
916,1992-06-01,Marc Chesney; Jacques Morisset,Measuring the Risk of Default in Six Highly Indebted Countries,1992,NA,NA,NA,NA,NA,331,331
917,1992-06-01,Asli Demirgüç-Kunt,Creditor Country Regulations and Commercial Bank Lending to Developing Countries,1992,NA,NA,NA,NA,NA,529,529
918,1992-06-01,Jaime de Melo; David Roland-Holst; Mona Haddad,Tax Evasion and Tax Reform in a Low-Income Economy: General Equilibrium Estimates for  Madagascar,1992,NA,NA,NA,NA,NA,429,429
919,1992-06-01,Roberto de Rezende ;   Rocha; Fernando Saldanha,"Fiscal and Quasi-Fiscal Deficits, Nominal and Real: Measurement and Policy Issues",1992,NA,NA,NA,NA,NA,784,784
920,1992-06-01,Raymond J. Kopp,Economic Incentives and Point  Source Emissions: Choice of Modeling Platform,1992,NA,NA,NA,NA,NA,291,291
921,1992-06-01,Cesar Queiroz; Surhid Gautam,Road Infrastructure and Economic Development: Some Diagnostic Indicators,1992,NA,NA,NA,NA,NA,6328,6328
922,1992-06-01,Sylvia Saborio; Constantine Michalopoulos,Central America at a Crossroads,1992,NA,NA,NA,NA,NA,380,380
923,1992-06-01,Andrew H. W. Stone,Listening to Firms: How to Use Firm- Level Surveys to Assess Constraints on Private Sector Development,1992,NA,NA,NA,NA,NA,578,578
924,1992-06-01,Rafael Rofman,How Reduced Demand for Children and Access to Family Planning Accelerated the Fertility Decline in  Colombia,1992,NA,NA,NA,NA,NA,1124,1124
925,1992-06-01,Ngee-Choon Chia; Sadek Wahba; John Whalley,A General-Equilibrium-Based Social Policy Model for Côte d'Ivoire,1992,NA,NA,NA,NA,NA,721,721
926,1992-06-01,Neil E. Moyer; Louis S. Thompson,Options for Reshaping the Railway,1992,69,1626253,NA,NA,NA,844,913
927,1992-06-01,Andrew Feltenstein; Anwar Shah,General Equilibrium Effects of Investment Incentives in Mexico,1992,NA,NA,NA,NA,NA,494,494
928,1992-07-01,Nalin M. Kishor,"Pesticide Externalities, Comparative Advantage, and Commodity Trade: Cotton in Andhra Pradesh, India",1992,NA,NA,NA,NA,NA,1360,1360
929,1992-07-01,Antonio Estache; Kangbin Zheng,Managing Pollution Control in Brazil: The Potential Use of Taxes and Fines by Federal and State Governments,1992,NA,NA,NA,NA,NA,322,322
930,1992-07-01,Robert Picciotto,Participatory Development: Myths and Dilemmas,1992,NA,NA,NA,NA,NA,483,483
931,1992-07-01,Alex Cukierman; Miguel A. Kiguel; Nissan Liviatan,How Much to Commit to an Exchange Rate Rule: Balancing Credibility and Flexibility,1992,NA,NA,NA,NA,NA,505,505
932,1992-07-01,Asli Demirgüç-Kunt; Enrica Detragiache,"Interest Rates, Official Lending, and the Debt Crisis: A Reassessment",1992,NA,NA,NA,NA,NA,635,635
933,1992-07-01,Asli Demirgüç-Kunt,Developing Country Capital Structures and Emerging Stock Markets,1992,NA,NA,NA,NA,NA,1691,1691
934,1992-07-01,Maureen A. Lewis; Margaret B. Sulvetta; Gerard M. LaForgia,Public Hospital Costs and Quality in the Dominican Republic,1992,NA,NA,NA,NA,NA,1012,1012
935,1992-07-01,Boum-Jong Choe,The Precautionary Demand for Commodity Stocks,1992,NA,NA,NA,NA,NA,353,353
