handle,citation,dsoid,abstract_views,downloads,scraping_date
10986/3886,"Xu, Lixin Colin. 2010. The Effects of Business Environments on Development : Surveying New Firm-Level Evidence. Policy Research working paper ; no. WPS 5402. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3886 License: CC BY 3.0 IGO.”",3758,805.0,1071.0,11/15/2021 22:37:46
10986/7244,"Parsons, Christopher R.; Skeldon, Ronald; Walmsley, Terrie L.; Winters, L. Alan. 2007. Quantifying International Migration : A Database of Bilateral Migrant Stocks. Policy Research Working Paper; No. 4165. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7244 License: CC BY 3.0 IGO.”",7045,1500.0,1583.0,11/15/2021 22:37:47
10986/18820,"Demirguc-Kunt, Asli; Kane, Edward; Laeven, Luc. 2014. Deposit Insurance Database. Policy Research Working Paper;No. 6934. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18820 License: CC BY 3.0 IGO.”",22045,1545.0,1134.0,11/15/2021 22:37:49
10986/6597,"Zhu, Nong; Luo, Xubei. 2008. The Impact of Remittances on Rural Poverty and Inequality in China. Policy Research Working Paper; No. 4637. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/6597 License: CC BY 3.0 IGO.”",6854,1999.0,1206.0,11/15/2021 22:37:50
10986/7331,"Ghesquiere, Francis; Mahul, Olivier. 2007. Sovereign Natural Disaster Insurance for Developing Countries : A Paradigm Shift in Catastrophe Risk Financing. Policy Research Working Paper; No. 4345. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7331 License: CC BY 3.0 IGO.”",7224,1360.0,1165.0,11/15/2021 22:37:52
10986/8449,"Swift, Zhicheng Li. 2006. Managing the Effects of Tax Expenditures on National Budgets. Policy Research Working Paper; No. 3927. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8449 License: CC BY 3.0 IGO.”",8731,1084.0,1064.0,11/15/2021 22:37:54
10986/8784,"Solo, Tova Maria; Manroth, Astrid. 2006. Access to Financial Services in Colombia : The Unbanked” in Bogotá. Policy Research Working Paper; No. 3834. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8784 License: CC BY 3.0 IGO.”",8641,1219.0,1523.0,11/15/2021 22:38:55
10986/8959,"Beck, Thorsten; Demirguc-Kunt, Asli; Laeven, Luc; Levine, Ross. 2005. Finance, Firm Size, and Growth. Policy Research Working Paper; No. 3485. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8959 License: CC BY 3.0 IGO.”",8919,585.0,1351.0,11/15/2021 22:38:56
10986/7005,"Dell'Aglio, Debora; Cunningham, Wendy; Koller, Silvia; Cassepp Borges, Vicente; Severo Leon, Joana. 2007. Youth Well-Being in Brazil : An Index for Cross-Regional Comparisons. Policy Research Working Paper; No. 4189. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7005 License: CC BY 3.0 IGO.”",7069,1230.0,4763.0,11/15/2021 22:38:58
10986/7117,"Bruno, Valentina G.; Claessens, Stijn. 2007. Corporate Governance and Regulation : Can There Be Too Much of a Good Thing?. Policy Research Working Paper; No. 4140. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7117 License: CC BY 3.0 IGO.”",7113,712.0,1323.0,11/15/2021 22:38:59
10986/16940,"Bruhn, Miriam; de Souza Leao, Luciana; Legovini, Arianna; Marchetti, Rogelio; Zia, Bilal. 2013. The Impact of High School Financial Education : Experimental Evidence from Brazil. Policy Research Working Paper;No. 6723. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16940 License: CC BY 3.0 IGO.”",18246,866.0,1012.0,11/15/2021 22:40:00
10986/19201,"Claessens, Stijn; Laeven, Luc. 2002. Financial Development, Property Rights, and Growth. Policy Research Working Paper;No. 2924. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19201 License: CC BY 3.0 IGO.”",20302,600.0,1179.0,11/15/2021 22:40:01
10986/4266,"Lewis, Maureen; Pettersson, Gunilla. 2009. Governance in Health Care Delivery : Raising Performance. Policy Research working paper ; no. WPS 5074. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4266 License: CC BY 3.0 IGO.”",4138,889.0,1393.0,11/15/2021 22:41:03
10986/7077,"Patrinos, Harry Anthony; Skoufias, Emmanuel; Lunde, Trine. 2007. Indigenous Peoples in Latin America : Economic Opportunities and Social Networks. Policy Research Working Paper; No. 4227. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7077 License: CC BY 3.0 IGO.”",7106,749.0,1105.0,11/15/2021 22:41:04
10986/9013,"Shah, Anwar. 2006. A Practitioner’s Guide to Intergovernmental Fiscal Transfers. Policy Research Working Paper; No. 4039. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/9013 License: CC BY 3.0 IGO.”",8839,1704.0,1283.0,11/15/2021 22:41:06
10986/32032,"Ianchovichina, Elena; Martin, Will. 2019. Taking Another Look at Policy Research on China's Accession to the World Trade Organization. Policy Research Working Paper;No. 8932. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/32032 License: CC BY 3.0 IGO.”",59916,576.0,930.0,11/15/2021 22:41:07
10986/3324,"Heltberg, Rasmus; Bonch-Osmolovskiy, Misha. 2011. Mapping Vulnerability to Climate Change. Policy Research working paper ; no. WPS 5554. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3324 License: CC BY 3.0 IGO.”",3196,1026.0,1171.0,11/15/2021 22:41:08
10986/4203,"Beegle, Kathleen; Filmer, Deon; Stokes, Andrew; Tiererova, Lucia. 2009. Orphanhood and the Living Arrangements of Children in Sub-Saharan Africa. Policy Research working paper ; no. WPS 4889. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4203 License: CC BY 3.0 IGO.”",4075,752.0,1030.0,11/15/2021 22:41:09
10986/6701,"Ratha, Dilip; Mohapatra, Sanket; Plaza, Sonia. 2008. Beyond Aid : New Sources and Innovative Mechanisms for Financing Development in Sub-Saharan Africa. Policy Research Working Paper No. 4609. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/6701 License: CC BY 3.0 IGO.”",6824,1043.0,1475.0,11/15/2021 22:41:11
10986/7548,"Bolzico, Javier; Mascaró, Yira; Granata, Paola. 2007. Practical Guidelines for Effective Bank Resolution. Policy Research Working Paper; No. 4389. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7548 License: CC BY 3.0 IGO.”",7268,1158.0,1020.0,11/15/2021 22:41:12
10986/7641,"Semmler, Willi; Greiner, Alfred; Diallo, Bobo; Rezai, Armon; Rajaram, Anand. 2007. Fiscal Policy, Public Expenditure Composition, and Growth : Theory and Empirics. Policy Research Working Paper; No. 4405. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7641 License: CC BY 3.0 IGO.”",7285,2470.0,1111.0,11/15/2021 22:41:13
10986/16044,"Allen, Franklin; Carletti, Elena; Cull, Robert; Qian, Jun; Senbet, Lemma; Valenzuela, Patricio. 2013. Improving Access to Banking : Evidence from Kenya. Policy Research Working Paper;No. 6593. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16044 License: CC BY 3.0 IGO.”",16880,962.0,999.0,11/15/2021 22:41:14
10986/19187,"Gragnolati, Michele; Marini, Alessandra. 2003. Health and Poverty in Guatemala. Policy Research Working Paper;No. 2966. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19187 License: CC BY 3.0 IGO.”",20058,1978.0,1042.0,11/15/2021 22:44:16
10986/21147,"Carletto, Gero; Jolliffe, Dean; Banerjee, Raka. 2015. From Tragedy to Renaissance : Improving Agricultural Data for Better Policies. Policy Research Working Paper;No. 7150. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21147 License: CC BY 3.0 IGO.”",25366,742.0,1043.0,11/15/2021 22:44:17
10986/24164,"Amin, Mohammad; Islam, Asif; Lopez-Claros, Augusto. 2016. Absent Laws and Missing Women : Can Domestic Violence Legislation Reduce Female Mortality?. Policy Research Working Paper;No. 7622. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/24164 License: CC BY 3.0 IGO.”",32776,907.0,969.0,11/15/2021 22:44:19
10986/16909,"López Claros, Augusto. 2013. Removing Impediments to Sustainable Economic Development : The Case of Corruption. Policy Research Working Paper;No. 6704. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16909 License: CC BY 3.0 IGO.”",18226,1013.0,1114.0,11/15/2021 22:44:20
10986/3223,"Gauri, Varun; Gloppen, Siri. 2012. Human Rights Based Approaches to Development Concepts, Evidence, and Policy. Policy Research working paper ; no. WPS 5938. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3223 License: CC BY 3.0 IGO.”",3095,967.0,1164.0,11/15/2021 22:44:22
10986/3354,"Liu, Lili; Webb, Steven B.. 2011. Laws for Fiscal Responsibility for Subnational Discipline : International Experience. Policy Research working paper ; no. WPS 5587. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3354 License: CC BY 3.0 IGO.”",3226,710.0,1313.0,11/15/2021 22:44:23
10986/11946,"Beath, Andrew; Christia, Fotini; Enikolopov, Ruben. 2012. Direct Democracy and Resource Allocation : Experimental Evidence from Afghanistan. Policy Research Working Paper; No. 6133. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/11946 License: CC BY 3.0 IGO.”",12102,892.0,1002.0,11/15/2021 22:44:24
10986/14201,"Knack, Stephen; Rahman, Aminur. 2004. Donor Fragmentation and            Bureaucratic Quality in Aid Recipients. Policy Research Working Paper;No.3186. World Bank, Washington, D.C.. © World Bank. https://openknowledge.worldbank.org/handle/10986/14201 License: CC BY 3.0 IGO.”",16119,663.0,1332.0,11/15/2021 22:44:26
10986/7406,"Yusuf, Shahid. 2007. About Urban Mega Regions : Knowns and Unknowns. Policy Research Working Paper; No. 4252. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7406 License: CC BY 3.0 IGO.”",7133,1759.0,1424.0,11/15/2021 22:44:27
10986/26498,"Aykut, Dilek; Sanghi, Apurva; Kosmidou, Gina. 2017. What to Do When Foreign Direct Investment Is Not Direct or Foreign : FDI Round Tripping. Policy Research Working Paper;No. 8046. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/26498 License: CC BY 3.0 IGO.”",41689,1896.0,945.0,11/15/2021 22:44:29
10986/7289,"Harding, Torfinn; Javorcik, Beata Smarzynska. 2007. Developing Economies and International Investors : Do Investment Promotion Agencies Bring them Together?. Policy Research Working Paper; No. 4339. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7289 License: CC BY 3.0 IGO.”",7219,1075.0,1466.0,11/15/2021 22:45:30
10986/9288,"Brenton, Paul; Hoppe, Mombert. 2006. The African Growth and Opportunity Act, Exports, and Development in Sub-Saharan Africa. Policy Research Working Paper; No. 3996. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/9288 License: CC BY 3.0 IGO.”",8798,1606.0,1106.0,11/15/2021 22:45:32
10986/12173,"Lozano-Gracia, Nancy; Young, Cheryl; Lall, Somik V.; Vishwanath, Tara. 2013. Leveraging Land to Enable Urban Transformation : Lessons from Global Experience. Policy Research Working Paper; No. 6312. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/12173 License: CC BY 3.0 IGO.”",13342,1137.0,1106.0,11/15/2021 22:45:33
10986/13899,"Kee, Hiau Looi; Nicita, Alessandro; Olarreaga, Marcelo. 2004. Import Demand Elasticities and Trade Distortions. Policy Research Working Paper;No. 3452. Washington, DC:  World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/13899 License: CC BY 3.0 IGO.”",16383,696.0,1066.0,11/15/2021 22:45:34
10986/20506,"Kondylis, Florence; Mueller, Valerie; Zhu, Siyao Jessica. 2014. Measuring Agricultural Knowledge and Adoption. Policy Research Working Paper;No. 7058. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/20506 License: CC BY 3.0 IGO.”",24152,1428.0,1000.0,11/15/2021 22:45:35
10986/32494,"Annan, Jeannie; Donald, Aletheia; Goldstein, Markus; Gonzalez Martinez, Paula; Koolwal, Gayatri. 2019. Taking Power : Women's Empowerment and Household Well-Being in Sub-Saharan Africa. Policy Research Working Paper;No. 9034. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/32494 License: CC BY 3.0 IGO.”",61411,1545.0,960.0,11/15/2021 22:45:36
10986/29668,"Ferrari, Aurora; Masetti, Oliver; Ren, Jiemin. 2018. Interest Rate Caps : The Theory and The Practice. Policy Research Working Paper;No. 8398. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/29668 License: CC BY 3.0 IGO.”",53723,1161.0,1050.0,11/15/2021 22:46:38
10986/3372,"Mishra, Saurabh; Lundstrom, Susanna; Anand, Rahul. 2011. Service Export Sophistication and Economic Growth. Policy Research working paper ; no. WPS 5606. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3372 License: CC BY 3.0 IGO.”",3244,647.0,1199.0,11/15/2021 22:46:39
10986/4161,"Demirgüç-Kunt, Asli; Levine, Ross. 2009. Finance and inequality : Theory and evidence. Policy Research Working Paper ; No. 4967. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4161 License: CC BY 3.0 IGO.”",4033,571.0,1182.0,11/15/2021 22:46:40
10986/25814,"Brown, Caitlin; Ravallion, Martin; van de Walle, Dominique. 2016. A Poor Means Test? : Econometric Targeting in Africa. Policy Research Working Paper;No. 7915. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/25814 License: CC BY 3.0 IGO.”",38549,1314.0,906.0,11/15/2021 22:46:42
10986/3335,"Hallegatte, Stephane; Lecocq, Franck; de Perthuis, Christian. 2011. Designing Climate Change Adaptation Policies : An Economic Framework. Policy Research working paper ; no. WPS 5568. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3335 License: CC BY 3.0 IGO.”",3207,936.0,1107.0,11/15/2021 22:46:43
10986/8929,"Paxson, Christina; Schady, Norbert. 2005. Cognitive Development among Young Children in Ecuador : The Roles of Wealth, Health, and Parenting. Policy Research Working Paper; No. 3605. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8929 License: CC BY 3.0 IGO.”",9025,935.0,1066.0,11/15/2021 22:46:44
10986/33663,"Khemani, Stuti; Chaudhary, Sarang; Scot, Thiago. 2020. Strengthening Public Health Systems : Policy Ideas from a Governance Perspective. Policy Research Working Paper;No. 9220. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/33663 License: CC BY 3.0 IGO.”",65207,928.0,977.0,11/15/2021 22:46:45
10986/14257,"Kikeri, Sunita; Nellis, John. 2002. Privatization in Competitive            Sectors: The Record to Date. Policy, Research working paper;no. WPS 2860; Policy Research Working Paper;No.2860. World Bank, Washington, D.C.. © World Bank. https://openknowledge.worldbank.org/handle/10986/14257 License: CC BY 3.0 IGO.”",16112,866.0,1149.0,11/15/2021 22:46:46
10986/18843,"Shatz, Howard J.; Venables, Anthony J.. 2000. The Geography of International Investment. Policy Research Working Paper;No. 2338. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18843 License: CC BY 3.0 IGO.”",21418,572.0,964.0,11/15/2021 22:46:48
10986/21994,"Ali, Daniel; Bowen, Derick; Deininger, Klaus; Duponchel, Marguerite. 2015. Investigating the Gender Gap in Agricultural Productivity : Evidence from Uganda. Policy Research Working Paper;No. 7262. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21994 License: CC BY 3.0 IGO.”",26951,1387.0,952.0,11/15/2021 22:47:50
10986/34356,"Li, Shanjun; Zhu, Xianglei; Ma, Yiding; Zhang, Fan; Zhou, Hui. 2020. The Role of Government in the Market for Electric Vehicles : Evidence from China. Policy Research Working Paper;No. 9359. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/34356 License: CC BY 3.0 IGO.”",67372,1917.0,1339.0,11/15/2021 22:47:51
10986/8877,"Chaudhuri, Shubham; Ravallion, Martin. 2006. Partially Awakened Giants: Uneven Growth in China and India. Policy Research Working Paper; No. 4069. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8877 License: CC BY 3.0 IGO.”",8869,1087.0,1131.0,11/15/2021 22:47:52
10986/27955,"Donald, Aletheia; Koolwal, Gayatri; Annan, Jeannie; Falb, Kathryn; Goldstein, Markus. 2017. Measuring Women's Agency. Policy Research Working Paper;No. 8148. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/27955 License: CC BY 3.0 IGO.”",44279,1349.0,972.0,11/15/2021 22:47:53
10986/16811,"Yoshida, Nobuo; Uematsu, Hiroki; Sobrado, Carlos E.. 2014. Is Extreme Poverty Going to End? An Analytical Framework to Evaluate Progress in Ending Extreme Poverty. Policy Research Working Paper;No. 6740. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16811 License: CC BY 3.0 IGO.”",18259,914.0,941.0,11/15/2021 22:47:54
10986/18746,"Engel, Eduardo; Galetovic, Alexander. 2014. Urban Transport : Can Public-Private Partnerships Work?. Policy Research Working Paper;No. 6873. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18746 License: CC BY 3.0 IGO.”",21989,847.0,947.0,11/15/2021 22:47:55
10986/19961,"Bruhn, Miriam. 2009. Female-Owned Firms in Latin America : Characteristics, Performance, and Obstacles to Growth. Policy Research Working Paper;No. 5122. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19961 License: CC BY 3.0 IGO.”",22897,526.0,925.0,11/15/2021 22:47:56
10986/21148,"Brulhart, Marius; Dihel, Nora; Kukenova, Madina. 2015. More than Copper : Toward the Diversification and Stabilization of Zambian Exports. Policy Research Working Paper;No. 7151. World Bank Group, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21148 License: CC BY 3.0 IGO.”",25367,783.0,1110.0,11/15/2021 22:47:57
10986/17722,"Azevedo, Joao Pedro; Atamanov, Aziz. 2014. Pathways to the Middle Class in Turkey : How Have Reducing Poverty and Boosting Shared Prosperity Helped?. Policy Research Working Paper;No. 6834. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/17722 License: CC BY 3.0 IGO.”",19667,1529.0,975.0,11/15/2021 22:47:59
10986/29606,"Safavian, Mehnaz; Zia, Bilal. 2018. The Impact of Interest Rate Caps on the Financial Sector : Evidence from Commercial Banks in Kenya. Policy Research Working Paper;No. 8393. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/29606 License: CC BY 3.0 IGO.”",53621,1303.0,952.0,11/15/2021 22:48:00
10986/16883,"May, Peter H.; Silveira Soares-Filho, Soares-Filho; Strand, Jon. 2013. How Much is the Amazon Worth? The State of Knowledge Concerning the Value of Preserving Amazon Rainforests. Policy Research Working Paper;No. 6668. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/16883 License: CC BY 3.0 IGO.”",18190,1727.0,1132.0,11/15/2021 22:49:02
10986/19937,"Andersen, Lykke E.; Verner, Dorte. 2010. Social Impacts of Climate Change in Chile : A Municipal Level Analysis of the Effects of Recent and Future Climate Change on Human Development and Inequality. Policy Research Working Paper;No. 5170. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19937 License: CC BY 3.0 IGO.”",22882,1968.0,988.0,11/15/2021 22:49:04
10986/8850,"Zara, Stefano; Dinar, Ariel; Patrone, Fioravante. 2006. Cooperative Game Theory and its Application to Natural, Environmental, and Water Resource Issues : 2. Application to Natural and Environmental Resources. Policy Research Working Paper;No. 4073. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8850 License: CC BY 3.0 IGO.”",8874,1420.0,1138.0,11/15/2021 22:49:06
10986/18169,"Islam, Roumeen. 2003. Do More Transparent Governments Govern Better?. Policy Research Working Paper;No. 3077. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18169 License: CC BY 3.0 IGO.”",19982,845.0,949.0,11/15/2021 22:49:07
10986/19901,"Escribano, Alvaro; Guasch, J. Luis; Pena, Jorge. 2010. Assessing the Impact of Infrastructure Quality on Firm Productivity in Africa : Cross-Country Comparisons Based on Investment Climate Surveys from 1999 to 2005. Policy Research Working Paper;No. 5191. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19901 License: CC BY 3.0 IGO.”",22863,773.0,926.0,11/15/2021 22:49:08
10986/23455,"Aga, Gemechu; Francis, David C.; Rodriguez Meza, Jorge. 2015. SMEs, Age, and Jobs : A Review of the Literature, Metrics, and Evidence. Policy Research Working Paper;No. 7493. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/23455 License: CC BY 3.0 IGO.”",30164,1204.0,924.0,11/15/2021 22:49:09
10986/4080,"Deininger, Klaus; Liu, Yanyan. 2009. Determinants of Repayment Performance in Indian Micro-Credit Groups. Policy Research working paper ; no. WPS 4885. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4080 License: CC BY 3.0 IGO.”",3952,682.0,1027.0,11/15/2021 22:49:10
10986/14812,"Devarajan, Shantayanan; Miller, Margaret J.; Swanson, Eric V.. 2002. Goals for Development : History,            Prospects, and Costs. Policy Research Working Paper;No.2819. World Bank, Washington, D.C.. © World Bank. https://openknowledge.worldbank.org/handle/10986/14812 License: CC BY 3.0 IGO.”",16069,801.0,1032.0,11/15/2021 22:49:11
10986/18254,"Lederman, Daniel; Maloney, William F.. 2003. R&D and Development. Policy Research Working Paper;No. 3024. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18254 License: CC BY 3.0 IGO.”",20178,1817.0,1411.0,11/15/2021 22:49:13
10986/23633,"Amendola, Alessandra; Boccia, Marinella; Mele, Gianluca; Sensini, Luca. 2016. Financial Access and Household Welfare : Evidence from Mauritania. Policy Research Working Paper;No. 7533. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/23633 License: CC BY 3.0 IGO.”",30867,795.0,906.0,11/15/2021 22:50:14
10986/31978,"Wieser, Christina; Bruhn, Miriam; Kinzinger, Johannes; Ruckteschler, Christian; Heitmann, Soren. 2019. The Impact of Mobile Money on Poor Rural Households : Experimental Evidence from Uganda. Policy Research Working Paper;No. 8913. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/31978 License: CC BY 3.0 IGO.”",59688,1400.0,981.0,11/15/2021 22:50:16
10986/7366,"Herrera, Santiago. 2007. Public Expenditure and Growth. Policy Research Working Paper; No. 4372. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/7366 License: CC BY 3.0 IGO.”",7252,5395.0,1125.0,11/15/2021 22:50:17
10986/19373,"Golub, Alexander; Toman, Michael. 2014. Climate Change, Industrial Transformation, and ""Development Traps"". Policy Research Working Paper;No. 6951. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/19373 License: CC BY 3.0 IGO.”",22742,461.0,918.0,11/15/2021 22:50:18
10986/4131,"Klapper, Leora; Lewin, Anat; Delgado, Juan Manuel Quesada. 2009. The Impact of the Business Environment on the Business Creation Process. Policy Research working paper ; no. WPS 4937. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/4131 License: CC BY 3.0 IGO.”",4003,674.0,1355.0,11/15/2021 22:50:19
10986/3618,"Dutz, Mark A.; Kessides, Ioannis; O'Connell, Stephen; Willig, Robert D.. 2011. Competition and Innovation-Driven Inclusive Growth. Policy Research working paper ; no. WPS 5852. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3618 License: CC BY 3.0 IGO.”",3490,895.0,1043.0,11/15/2021 22:50:21
10986/3697,"Keefer, Philip; Khemani, Stuti. 2011. Mass Media and Public Services : The Effects of Radio Access on Public Education in Benin. Policy Research working paper ; no. WPS 5559. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3697 License: CC BY 3.0 IGO.”",3569,1236.0,1156.0,11/15/2021 22:50:22
10986/15602,"Bofinger, Heinrich; Strand, Jon. 2013. Calculating the Carbon Footprint            from Different Classes of Air Travel. Policy Research Working Paper;No. 6471. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/15602 License: CC BY 3.0 IGO.”",15989,1392.0,1047.0,11/15/2021 22:50:23
10986/18175,"Perry, Guillermo; Serven, Luis. 2003. The Anatomy of a Multiple Crisis : Why Was Argentina Special and What Can We Learn from It?. Policy Research Working Paper;No. 3081. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/18175 License: CC BY 3.0 IGO.”",19978,769.0,1130.0,11/15/2021 22:50:24
10986/9316,"Gertler, Paul; Vermeersch, Christel. 2012. Using Performance Incentives to Improve Health Outcomes. Policy Research Working Paper; No. 6100. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/9316 License: CC BY 3.0 IGO.”",9553,1426.0,1285.0,11/15/2021 22:50:26
10986/21866,"Kotsadam, Andreas; Tolonen, Anja. 2015. African Mining, Gender, and Local Employment. Policy Research Working Paper;No. 7251. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/21866 License: CC BY 3.0 IGO.”",26523,894.0,890.0,11/15/2021 22:51:27
10986/3331,"Melecky, Martin; Raddatz, Claudio. 2011. How Do Governments Respond after Catastrophes? Natural-Disaster Shocks and the Fiscal Stance. Policy Research working paper ; no. WPS 5564. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3331 License: CC BY 3.0 IGO.”",3203,1296.0,1048.0,11/15/2021 22:51:29
10986/3611,"Demirguc-Kunt, Asli; Feyen, Erik; Levine, Ross. 2011. The Evolving Importance of Banks and Securities Markets. Policy Research working paper ; no. WPS 5805. World Bank. © World Bank. https://openknowledge.worldbank.org/handle/10986/3611 License: CC BY 3.0 IGO.”",3483,537.0,1037.0,11/15/2021 22:51:30
10986/8978,"Jamasb, Tooraj; Mota, Raffaella; Newbery, David; Pollitt, Michael. 2005. Electricity Sector Reform in Developing Countries : A Survey of Empirical Evidence on Determinants and Performance. Policy Research Working Paper; No. 3549. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/8978 License: CC BY 3.0 IGO.”",8989,1311.0,1223.0,11/15/2021 22:51:31
10986/15555,"Himanshu; Lanjouw, Peter; Murgai, Rinku; Stern, Nicholas. 2013. Non-Farm Diversification, Poverty, Economic Mobility and Income Inequality : A Case Study in Village India. Policy Research Working Paper;No. 6451. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/15555 License: CC BY 3.0 IGO.”",15969,1281.0,1110.0,11/15/2021 22:51:32
10986/26951,"Fox, Louise; Romero, Carolina. 2017. In the Mind, the Household, or the Market? : Concepts and Measurement of Women's Economic Empowerment. Policy Research Working Paper;No. 8079. World Bank, Washington, DC. © World Bank. https://openknowledge.worldbank.org/handle/10986/26951 License: CC BY 3.0 IGO.”",42364,742.0,911.0,11/15/2021 22:51:34
